text	sentiment
Wow... Loved this place.	1
Crust is not good.	0
Got new cases. :) apple applestore citycreek #slc #citycreek #apple #applestore #red ... http://t.co/eiT3tsudcu http://t.co/BPaOYLImcR	0
if i fail poli sci because of this fucking laptop i'm suing apple	1
Got new cases. :) apple applestore citycreek #slc #citycreek #apple #applestore #red #productred #aids #founda... http://t.co/Zfgt6VPJMz	1
In world's first #appleWatch hackathon, apps and challenges emerge http://t.co/3pkiaimuAP via svbizjournal #aapl	0
Wtf.. My phone is in do not disturb and I'm still getting notifications.. Fix this shit applebees apple	1
Currently on hold with apple in Cupertino to try to set up a Genius Bar appointment in Madrid #dontask	1
First tweet from my new apple #iPhone 6 Plus. #newtoy	1
fcbliam apple fix this	0
you just did too much you asshole. apple get your shit together.	1
So apple wouldn't fix my phone and claims that I didn't tell them to screen was fucked.	1
#AAPL:Did Carl Icahn cause a new private equity bubble?...http://t.co/07f6Mv7ZlD	0
sextsatan applebees apple appleBEES FAVED OMG	0
apple iSchool? http://t.co/qpDxDpX3Qj #education applenws	0
apple can we always have the setting 'when I use the app' for location for apps, instead of just always and never?	0
apple y'all should put the apple symbol into the home button on yalls next device	0
#iPhone6 users complain to apple [#apple] about front. (#Wednesday, 3 #December) http://t.co/PiCjZ3u6us	1
#VerrÌ_cktes #GerÌ_cht: #iPhone6s zum apple [#apple] Watch. (#Wednesday, 3 #December) http://t.co/mSMQYRTUTO	0
How Competition Between Wireless Carriers Benefits apple, Inc. http://t.co/9wBMngm62w #AAPL	0
JMP raises apple Inc price target to $150 on 'exceptionally strong' demand for ... http://t.co/SOmV4lx8Ao #AAPL	0
Final #AAPL #PutCallRatios for Wednesday, December 3, 2014 http://t.co/Lc6B7m7jut	0
New post on my blog: Got new cases. :) apple applestore citycreek #slc #citycreek #apple #applestore #red #pr... http://t.co/S4XRRXR8uq	0
Got new cases. :) apple applestore citycreek #slc #citycreek #apple #applestore #red ... http://t.co/eiT3tsudcu http://t.co/U2w19NhHMU	1
l0lvivivuvu sextsatan apple And replied... #livingthedream ~ARI	0
Check out our Founder gernieb views on apple &amp; facebook #EggFreezing benefits for female engineers: https://t.co/vHZ1RcNWru #WomenInTech	0
.IKEA Channels apple in a Hilarious Ad for Its New Catalog #Bookbook via #TIME #IKEA  http://t.co/tPg0iVquc6	0
Our FDA-cleared, smartphone-connected thermometer is now at apple stores! http://t.co/4mKeHdaDjk #holiday http://t.co/J0YH27c37Z	0
RT applebees: l0lvivivuvu sextsatan apple And replied... #livingthedream ~ARI	0
.google Trumps apple In Streaming Media Sales http://t.co/c46Dr8M3gA	1
apple Secretly Deleted iPod Owners' Songs Downloaded From Competing Music Services http://t.co/glvCdIKMwG #AAPL	1
dear apple, 

why oh why do I have to baby sit copying files in the POS Finder? it's not like copying files is hard. oh wait, it's you.	1
apple CEO Tim Cook comes out as gay apple   http://t.co/euFQQpMjj6  Via posh360_Net	0
apple please get yourself together! I need my products to work!	1
dear apple,

now it's MY fault that your POS Macbook airquotes PRO does not have fast ports. drop the PRO in the future. #toycomputer	1
apple Hi! A few days ago I purchase 2 ringtones and non of them appear on my phone or purchased, but they appear in my credit card	1
zoebread dps developments; welove #AAPL-E and that new #retina screen ohai	0
apple IF YOU DIDNT MAKE SUCH GOOD PRODUCTS I WOULD BOYCOTT YOU FOREVER	1
As the sun devils were making their 20-2 run on us, my phone called 4 people and hung up on them all on it's own. WTF! #iphoneissues apple	1
#apple admits it deleted songs purchased through competing stores from iPods ... - http://t.co/5YDlxI8TJ5 #AAPL #RealNetworks	1
UNLVgirl apple gotta switch to that Android life #Galaxy	1
LUV apple #iphone I've had pretty much all the iPhones. #3GS, #4 , #4s , #5c &amp;  #MobilePhone http://t.co/p1mlp2zlyK http://t.co/9MT4uQeXFT	1
Not happy apple have caused this to happen through a #osx system update, still on Mavericks jetbrains http://t.co/Uyd4qUSZ7Z	1
apple jetbrains It only happened once - perhaps because I had no network? This is and was my setting : http://t.co/LEdx3mI6Sn	0
apple is becoming very petty about not allowing certain apple Dev resources work in Chrome.	1
PaulYarns beatsbydre BeatsSupport apple I agree about apple. Their customer service is based on condescending employees treating	1
PaulYarns beatsbydre BeatsSupport apple customers as a captive audience.	0
#Win a #New apple iPad Mini 3 with an iTunes Gift Card! http://t.co/5pZl2WA9sv	0
Is there anything more maddening than notifications re-appearing with app upgrade? apple	1
Hey apple let us get some Star Wars action on iTunes.	0
We need an eye rolling emoji pronto apple	0
RT naugtae: We need an eye rolling emoji pronto apple	0
apple your chargers SUCK	1
more* fuck you iphone apple	1
Aw yeah! monarchywpb sticker to ride with Rhyot boommovement and apple http://t.co/RGcHuCS95D	0
#AAPL:apple Inc. (AAPL) Falls For Week Because Of Monday Morning Drop...http://t.co/ut65KwzukC	1
apple Inc. CEO Donates $291K To Pennsylvania School District http://t.co/9gkKgWuASR #AAPL	1
apple runs the world..look around you	1
New Questions In #Mobile  #GOOG #GOOGL #AAPL #AMZN #FB #SSNLF http://t.co/dxP3rq4UXd	0
